talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
TS06.06;TS06;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;M;M;yes;no;15;39;21;18;no;no;2;2;0;2;M;11;70;NA;M;5;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.07;TS06;oral;05/02/2019 16:15;05/02/2019;16:15;afternoon;M;M;no;no;11;31;16;15;no;no;2;2;0;2;M;13;39;NA;M;62;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.08;TS06;oral;05/02/2019 16:30;05/02/2019;16:30;afternoon;M;M;no;no;16;20;9;11;no;no;2;2;0;2;M;22;60;NA;M;45;153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.10;TS06;oral;05/02/2019 18:00;05/02/2019;18:00;evening;W;W;yes;no;12;23;6;17;no;no;2;2;0;2;M;27;14;NA;M;23;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.11;TS06;oral;05/02/2019 18:30;05/02/2019;18:30;evening;W;W;yes;no;11;27;16;11;yes;yes.unique;1;1;1;0;W;13;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.12;TS06;oral;05/02/2019 18:45;05/02/2019;18:45;evening;W;W;yes;no;9;29;12;17;no;yes.last;3;3;1;2;M;10;26;NA;M;16;16;NA;W;8;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.13;TS06;oral;05/02/2019 19:00;05/02/2019;19:00;evening;W;W;yes;no;11;31;18;13;yes;yes.unique;1;1;1;0;W;9;33.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS06.14;TS06;oral;05/02/2019 19:15;05/02/2019;19:15;evening;M;NA;yes;yes;17.5;31.5;15;16.5;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS07.01;TS07;oral;05/02/2019 18:45;05/02/2019;18:45;evening;W;W;yes;no;12;40;19;21;no;yes.other;2;0;0;0;NA;25;40;NA;NA;10;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS08.01;TS08;oral;07/02/2019 15:00;07/02/2019;15:00;afternoon;M;W;yes;no;15;50;24;26;no;no;1;1;0;1;M;24.5;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TS08.02;TS08;oral;07/02/2019 15:15;07/02/2019;15:15;afternoon;M;W;yes;no;13.5;47;23;24;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
